track_id,frame,ann_idx,x_px,y_px,x_nm,y_nm,area_nm2,annotation_type,displacement_nm,cumulative_displacement_nm
4,15,3,470.0,290.0,235.0,145.0,9.62112750161874,circle,1.0,10.064495102245981
4,16,3,469.0,286.0,234.5,143.0,9.62112750161874,circle,2.0615528128088303,12.126047915054812
4,17,4,469.0,285.0,234.5,142.5,9.62112750161874,circle,0.5,12.626047915054812
4,18,3,469.0,283.0,234.5,141.5,9.62112750161874,circle,1.0,13.626047915054812
4,19,4,469.0,282.0,234.5,141.0,9.62112750161874,circle,0.5,14.126047915054812
5,0,5,84.0,237.0,42.0,118.5,9.62112750161874,circle,0.0,0.0
5,1,5,84.0,236.0,42.0,118.0,9.62112750161874,circle,0.5,0.5
5,2,5,86.0,234.0,43.0,117.0,9.62112750161874,circle,1.4142135623730951,1.9142135623730951
5,3,5,85.0,238.0,42.5,119.0,9.62112750161874,circle,2.0615528128088303,3.9757663751819257
5,4,4,84.0,236.0,42.0,118.0,9.62112750161874,circle,1.118033988749895,5.093800363931821
5,5,4,84.0,236.0,42.0,118.0,9.62112750161874,circle,0.0,5.093800363931821
5,6,5,84.0,237.0,42.0,118.5,9.62112750161874,circle,0.5,5.593800363931821
5,7,5,84.0,237.0,42.0,118.5,9.62112750161874,circle,0.0,5.593800363931821
5,8,4,84.0,239.0,42.0,119.5,9.62112750161874,circle,1.0,6.593800363931821
5,9,4,84.0,238.0,42.0,119.0,9.62112750161874,circle,0.5,7.093800363931821
5,10,5,84.0,239.0,42.0,119.5,9.62112750161874,circle,0.5,7.593800363931821
5,11,1,84.0,239.0,42.0,119.5,9.62112750161874,circle,0.0,7.593800363931821
5,12,2,84.0,239.0,42.0,119.5,9.62112750161874,circle,0.0,7.593800363931821
5,13,0,85.0,239.0,42.5,119.5,9.62112750161874,circle,0.5,8.09380036393182
5,14,0,84.0,239.0,42.0,119.5,9.62112750161874,circle,0.5,8.59380036393182
5,15,0,84.0,240.0,42.0,120.0,9.62112750161874,circle,0.5,9.09380036393182
5,16,0,85.0,240.0,42.5,120.0,9.62112750161874,circle,0.5,9.59380036393182
5,17,0,85.0,241.0,42.5,120.5,9.62112750161874,circle,0.5,10.09380036393182
5,18,0,85.0,241.0,42.5,120.5,9.62112750161874,circle,0.0,10.09380036393182
5,19,0,86.0,241.0,43.0,120.5,9.62112750161874,circle,0.5,10.59380036393182
