stem,isolate,split,pixel_size_nm,shape,n_reference,confident_frac,ecd_nm_median,ecd_nm_p10,ecd_nm_p90,ecd_px_median,circularity_median,density_per_um2,intensity_mean,intensity_std,intensity_p1,intensity_p99,frac_below_dn32,frac_above_dn223
4AC2_003,4AC2,test,11.587,692x1024,31,0.6774193548387096,1091.3692,927.4897,2179.6034,94.18910848364547,0.6793,0.32584692640380464,35.764991760253906,58.14568328857422,0.0,239.0,0.6784653856575145,0.01795209763367052
4AC2_008,4AC2,train,10.886,692x1024,35,0.5714285714285714,1051.058,609.0584,1251.01558,96.55135035825832,0.7185,0.4167977187579472,34.38092803955078,55.479835510253906,0.0,235.0,0.681555951950867,0.013213229317196531
4AC2_019,4AC2,train,7.645,692x1024,14,0.6428571428571429,932.03315,745.71397,1134.0397600000001,121.91408109875736,0.6121,0.33803915317915734,36.19972610473633,56.36198425292969,0.0,231.0,0.6678727872109826,0.012432826047687862
4AC2_036,4AC2,train,7.108,692x1024,13,0.3076923076923077,1179.8088,824.6868,2771.9835800000005,165.9832301631964,0.2672,0.3631135562958919,30.303874969482422,51.42884826660156,0.0,229.0,0.7164878183706648,0.011172608833092486
4AJ1_050,4AJ1,train,3.614,692x1024,9,0.3333333333333333,771.8869,268.10876,1186.76234,213.58242944106254,0.2401,0.9724340601545394,41.636741638183594,60.619895935058594,0.0,230.0,0.6187172597543352,0.012572536578757225
4AJ1_058,4AJ1,test,16.838,692x1024,59,0.864406779661017,1231.1255,1005.06366,1635.5186800000001,73.11589856277467,0.7001,0.2936736291559383,34.59048080444336,55.03260803222656,0.0,235.0,0.6746748554913294,0.013286612626445087
4CC1_002,4CC1,val,13.827,692x1024,64,1.0,993.69715,874.1787899999999,1121.23452,71.86643161929558,0.8449,0.4724088197680306,37.535335540771484,57.78580093383789,0.0,236.0,0.648982229949422,0.015046400830924855
4CC1_013,4CC1,train,7.487,692x1024,26,0.5384615384615384,873.31385,510.5281,1187.2488,116.64402965139575,0.56415,0.6545632682737512,40.01070022583008,61.27932357788086,0.0,241.0,0.6439695854407514,0.01971188583815029
ATCC-6633_058,ATCC-6633,train,6.746,692x1024,28,0.4642857142857143,824.8037999999999,551.42788,1496.94313,122.26560924992586,0.5781499999999999,0.8682790182693658,27.987668991088867,50.133602142333984,0.0,231.0,0.7274572118858381,0.012366498825867052
RO-H-1_026,RO-H-1,val,7.52,692x1024,31,0.7096774193548387,800.3759,610.5851,962.1056,106.43296542553192,0.8041,0.7736062353586026,39.217041015625,63.77146530151367,0.0,246.0,0.6754298568460982,0.027559666275289017
RO-H-1_031,RO-H-1,train,7.921,692x1024,37,0.7027027027027027,825.6905,583.48338,1097.7279799999997,104.2406893069057,0.765,0.832215205148919,40.61335372924805,62.481597900390625,0.0,246.0,0.6488425194183526,0.0243364455382948
RO-NN-1_007,RO-NN-1,test,12.434,692x1024,48,0.8125,960.3839,807.03961,1207.0684400000005,77.23853144603507,0.8322,0.4381405612294546,38.05037307739258,59.08701705932617,0.0,238.0,0.6601731846098265,0.015310298500722543
TU-B-10_003,TU-B-10,val,7.952,692x1024,53,0.8113207547169812,892.498,635.77686,974.31678,112.23566398390342,0.8114,1.1828156871008504,34.94275665283203,53.416568756103516,0.0,225.0,0.6557349056177746,0.010558729226878612
TU-B-10_011,TU-B-10,test,7.317,692x1024,40,0.8,872.07635,649.46683,1027.19097,119.18495968293017,0.7961,1.0543573506896189,37.59188461303711,56.66761779785156,0.0,233.0,0.6430297145953757,0.013481360639450867
