movie_id,dose_condition,electrons_per_pixel_per_frame,replicate,random_seed,specimen_seed,trajectory_seed,noise_seed,number_of_frames,pixel_size,input_motion_px,alignment_rmse_px,maximum_error_px,sharpness_before,sharpness_after,sharpness_gain_percent,alignment_success,failure_definition,figure_panel,source_file,software_version,git_commit
dose_1_rep0,dose_1,1.0,0,100,4,0,100,24,18.0 A/px,26.0,136.18029936455156,667.085993315075,0.017046377062797546,0.014276949688792229,-16.246427987618482,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_1_rep1,dose_1,1.0,1,101,5,1,101,24,18.0 A/px,26.0,1.272915233563573,4.3062039870970965,0.01717357523739338,0.014617973938584328,-14.8810091287488,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_1_rep2,dose_1,1.0,2,102,6,2,102,24,18.0 A/px,26.0,1.5322010406516582,5.280880599824089,0.01712644100189209,0.014704747125506401,-14.14008827705736,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_1_rep3,dose_1,1.0,3,103,7,3,103,24,18.0 A/px,26.0,0.467252488098919,0.9138796543764883,0.017051570117473602,0.015067221596837044,-11.63733607501104,True,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_1_rep4,dose_1,1.0,4,104,8,4,104,24,18.0 A/px,26.0,0.4895986888630755,1.1325058674832105,0.017112616449594498,0.0150028420612216,-12.328765706794599,True,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_1_rep5,dose_1,1.0,5,105,9,5,105,24,18.0 A/px,26.0,1.222265423742274,3.9707268549907218,0.017075061798095703,0.014634254388511181,-14.294574382487646,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_0.25_rep0,dose_0.25,0.25,0,100,4,0,100,24,18.0 A/px,26.0,429.7786842043982,662.3465133119471,0.06758043169975281,0.03803819790482521,-43.71418331001229,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_0.25_rep1,dose_0.25,0.25,1,101,5,1,101,24,18.0 A/px,26.0,388.46017487275793,578.5810954098129,0.0674976259469986,0.03781174495816231,-43.980629795997025,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_0.25_rep2,dose_0.25,0.25,2,102,6,2,102,24,18.0 A/px,26.0,412.4668134920698,679.9725262910595,0.06739284098148346,0.037577010691165924,-44.241836159584956,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_0.25_rep3,dose_0.25,0.25,3,103,7,3,103,24,18.0 A/px,26.0,403.83632407851,676.193029739822,0.06711147725582123,0.03707955405116081,-44.74931030080322,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
